codelist,code,var_code,parent,order,slot_order,describes,applies_to_units,partition,requires,valid_with,value,status,notes
CL_BRK_VAR,POOR,,,5,40,HH,IND HH HE,Y,POVLINE PPP,,,DRAFT,
CL_BRK_VAR,HE_COUNT,,,6,50,HH,HH IND,Y,,,,DRAFT,
CL_BRK_VAR,EMP_STATUS,,,7,55,IND,IND,Y,,,,DRAFT,
CL_BRK_VAR,EMP_SECTOR,,,8,60,IND,IND,Y,,,,DRAFT,
CL_BRK_VAR,EMP_ISIC,,,9,62,IND,IND,Y,,,,DRAFT,Universe TBD (H5)
CL_BRK_VAR,EMP_TYPE,,,10,65,IND,IND,Y,,,,DRAFT,
CL_BRK_VAR,EMP_FORMAL,,,11,70,IND,IND,Y,,,,DRAFT,Universe TBD (H6)
CL_BRK_VAR,HEO_SEX,,,12,80,HE,HE,Y,,,,DRAFT,
CL_BRK_VAR,HEO_MSTAT,,,13,85,HE,HE,Y,,,,DRAFT,
CL_COMP_BREAKDOWN,QUINT_Q1,QUINT,,1,,,,,,,,DRAFT,
CL_COMP_BREAKDOWN,QUINT_Q2,QUINT,,2,,,,,,,,DRAFT,
CL_COMP_BREAKDOWN,QUINT_Q3,QUINT,,3,,,,,,,,DRAFT,
CL_COMP_BREAKDOWN,QUINT_Q4,QUINT,,4,,,,,,,,DRAFT,
CL_COMP_BREAKDOWN,QUINT_Q5,QUINT,,5,,,,,,,,DRAFT,
CL_COMP_BREAKDOWN,DEC_MKT_D01,DEC_MKT,,1,,,,,,,,DRAFT,
CL_COMP_BREAKDOWN,DEC_MKT_D02,DEC_MKT,,2,,,,,,,,DRAFT,
CL_COMP_BREAKDOWN,DEC_MKT_D03,DEC_MKT,,3,,,,,,,,DRAFT,
CL_COMP_BREAKDOWN,DEC_MKT_D04,DEC_MKT,,4,,,,,,,,DRAFT,
CL_COMP_BREAKDOWN,DEC_MKT_D05,DEC_MKT,,5,,,,,,,,DRAFT,
CL_COMP_BREAKDOWN,DEC_MKT_D06,DEC_MKT,,6,,,,,,,,DRAFT,
CL_COMP_BREAKDOWN,DEC_MKT_D07,DEC_MKT,,7,,,,,,,,DRAFT,
CL_COMP_BREAKDOWN,DEC_MKT_D08,DEC_MKT,,8,,,,,,,,DRAFT,
CL_COMP_BREAKDOWN,DEC_MKT_D09,DEC_MKT,,9,,,,,,,,DRAFT,
CL_COMP_BREAKDOWN,DEC_MKT_D10,DEC_MKT,,10,,,,,,,,DRAFT,
CL_COMP_BREAKDOWN,HHH_SEX_F,HHH_SEX,,1,,,,,,,,DRAFT,
CL_COMP_BREAKDOWN,HHH_SEX_M,HHH_SEX,,2,,,,,,,,DRAFT,
CL_COMP_BREAKDOWN,HHH_AGE_LT35,HHH_AGE,,1,,,,,,,,DRAFT,
CL_COMP_BREAKDOWN,HHH_AGE_GE35,HHH_AGE,,2,,,,,,,,DRAFT,
CL_COMP_BREAKDOWN,POOR_Y,POOR,,1,,,,,,,,DRAFT,
CL_COMP_BREAKDOWN,POOR_N,POOR,,2,,,,,,,,DRAFT,
CL_COMP_BREAKDOWN,HE_COUNT_0,HE_COUNT,,1,,,,,,,,DRAFT,
CL_COMP_BREAKDOWN,HE_COUNT_1,HE_COUNT,,2,,,,,,,,DRAFT,
CL_COMP_BREAKDOWN,HE_COUNT_2,HE_COUNT,,3,,,,,,,,DRAFT,
CL_COMP_BREAKDOWN,HE_COUNT_3,HE_COUNT,,4,,,,,,,,DRAFT,
CL_COMP_BREAKDOWN,HE_COUNT_4P,HE_COUNT,,5,,,,,,,,DRAFT,
CL_COMP_BREAKDOWN,EMP_STATUS_EMPLOYED,EMP_STATUS,,1,,,,,,,,DRAFT,
CL_COMP_BREAKDOWN,EMP_STATUS_NOT_EMPLOYED,EMP_STATUS,,2,,,,,,,,DRAFT,
CL_COMP_BREAKDOWN,EMP_SECTOR_AGR,EMP_SECTOR,,1,,,,,,,,DRAFT,
CL_COMP_BREAKDOWN,EMP_SECTOR_IND,EMP_SECTOR,,2,,,,,,,,DRAFT,
CL_COMP_BREAKDOWN,EMP_SECTOR_SER,EMP_SECTOR,,3,,,,,,,,DRAFT,
CL_COMP_BREAKDOWN,EMP_ISIC_A,EMP_ISIC,,1,,,,,,,,DRAFT,
CL_COMP_BREAKDOWN,EMP_ISIC_B,EMP_ISIC,,2,,,,,,,,DRAFT,
CL_COMP_BREAKDOWN,EMP_ISIC_C,EMP_ISIC,,3,,,,,,,,DRAFT,
CL_COMP_BREAKDOWN,EMP_ISIC_D,EMP_ISIC,,4,,,,,,,,DRAFT,
CL_COMP_BREAKDOWN,EMP_ISIC_E,EMP_ISIC,,5,,,,,,,,DRAFT,
CL_COMP_BREAKDOWN,EMP_ISIC_F,EMP_ISIC,,6,,,,,,,,DRAFT,
CL_COMP_BREAKDOWN,EMP_ISIC_G,EMP_ISIC,,7,,,,,,,,DRAFT,
CL_COMP_BREAKDOWN,EMP_ISIC_H,EMP_ISIC,,8,,,,,,,,DRAFT,
CL_COMP_BREAKDOWN,EMP_ISIC_I,EMP_ISIC,,9,,,,,,,,DRAFT,
CL_COMP_BREAKDOWN,EMP_ISIC_J,EMP_ISIC,,10,,,,,,,,DRAFT,
CL_COMP_BREAKDOWN,EMP_ISIC_K,EMP_ISIC,,11,,,,,,,,DRAFT,
CL_COMP_BREAKDOWN,EMP_ISIC_L,EMP_ISIC,,12,,,,,,,,DRAFT,
CL_COMP_BREAKDOWN,EMP_ISIC_M,EMP_ISIC,,13,,,,,,,,DRAFT,
CL_COMP_BREAKDOWN,EMP_ISIC_N,EMP_ISIC,,14,,,,,,,,DRAFT,
CL_COMP_BREAKDOWN,EMP_ISIC_O,EMP_ISIC,,15,,,,,,,,DRAFT,
CL_COMP_BREAKDOWN,EMP_ISIC_P,EMP_ISIC,,16,,,,,,,,DRAFT,
CL_COMP_BREAKDOWN,EMP_ISIC_Q,EMP_ISIC,,17,,,,,,,,DRAFT,
CL_COMP_BREAKDOWN,EMP_ISIC_R,EMP_ISIC,,18,,,,,,,,DRAFT,
CL_COMP_BREAKDOWN,EMP_ISIC_S,EMP_ISIC,,19,,,,,,,,DRAFT,
CL_COMP_BREAKDOWN,EMP_ISIC_T,EMP_ISIC,,20,,,,,,,,DRAFT,
CL_COMP_BREAKDOWN,EMP_ISIC_U,EMP_ISIC,,21,,,,,,,,DRAFT,
CL_COMP_BREAKDOWN,EMP_TYPE_WAGE,EMP_TYPE,,1,,,,,,,,DRAFT,
CL_COMP_BREAKDOWN,EMP_TYPE_NONWAGE,EMP_TYPE,,2,,,,,,,,DRAFT,
CL_COMP_BREAKDOWN,EMP_FORMAL_Y,EMP_FORMAL,,1,,,,,,,,DRAFT,
CL_COMP_BREAKDOWN,EMP_FORMAL_N,EMP_FORMAL,,2,,,,,,,,DRAFT,
CL_COMP_BREAKDOWN,HEO_SEX_F,HEO_SEX,,1,,,,,,,,DRAFT,
CL_COMP_BREAKDOWN,HEO_SEX_M,HEO_SEX,,2,,,,,,,,DRAFT,
CL_COMP_BREAKDOWN,HEO_MSTAT_MARRIED,HEO_MSTAT,,1,,,,,,,,DRAFT,
CL_COMP_BREAKDOWN,HEO_MSTAT_NOT_MARRIED,HEO_MSTAT,,2,,,,,,,,DRAFT,
CL_QUAL_VAR,WELFARE,,,1,10,,,,,,,DRAFT,
CL_QUAL_VAR,POVLINE,,,2,20,,,,PPP,,,DRAFT,
CL_QUAL_VAR,PPP,,,3,30,,,,,,,DRAFT,
CL_QUAL_VAR,COICOP,,,4,40,,,,,,,DRAFT,
CL_QUAL_VAR,ACQ,,,5,45,,,,,,,DRAFT,New (H2)
CL_QUAL_VAR,FI,,,6,50,,,,,,,DRAFT,
CL_QUALIFIER,WELFARE_CONS_PC,WELFARE,,1,,,,,,,,DRAFT,
CL_QUALIFIER,WELFARE_INC_MARKET,WELFARE,,2,,,,,,,,DRAFT,
CL_QUALIFIER,WELFARE_INC_MARKET_PENS,WELFARE,,3,,,,,,,,DRAFT,
CL_QUALIFIER,WELFARE_INC_NETMARKET,WELFARE,,4,,,,,,,,DRAFT,
CL_QUALIFIER,WELFARE_INC_DISP,WELFARE,,5,,,,,,,,DRAFT,
CL_QUALIFIER,WELFARE_INC_CONSUMABLE,WELFARE,,6,,,,,,,,DRAFT,
CL_QUALIFIER,WELFARE_INC_FINAL,WELFARE,,7,,,,,,,,DRAFT,
CL_QUALIFIER,POVLINE_PL215,POVLINE,,1,,,,,,PPP_2017,2.15,DRAFT,
CL_QUALIFIER,POVLINE_PL365,POVLINE,,2,,,,,,PPP_2017,3.65,DRAFT,
CL_QUALIFIER,POVLINE_PL685,POVLINE,,3,,,,,,PPP_2017,6.85,DRAFT,
CL_QUALIFIER,POVLINE_PL300,POVLINE,,4,,,,,,PPP_2021,3.00,DRAFT,
CL_QUALIFIER,POVLINE_PL420,POVLINE,,5,,,,,,PPP_2021,4.20,DRAFT,
CL_QUALIFIER,POVLINE_PL830,POVLINE,,6,,,,,,PPP_2021,8.30,DRAFT,
CL_QUALIFIER,POVLINE_NPL,POVLINE,,7,,,,,,_Z,,DRAFT,
CL_QUALIFIER,POVLINE_NPL_FOOD,POVLINE,,8,,,,,,_Z,,DRAFT,
CL_QUALIFIER,PPP_2011,PPP,,1,,,,,,,,DRAFT,
CL_QUALIFIER,PPP_2017,PPP,,2,,,,,,,,DRAFT,
CL_QUALIFIER,PPP_2021,PPP,,3,,,,,,,,DRAFT,
CL_QUALIFIER,COICOP_CP01,COICOP,,1,,,,,,,,DRAFT,
CL_QUALIFIER,COICOP_CP02,COICOP,,2,,,,,,,,DRAFT,
CL_QUALIFIER,COICOP_CP03,COICOP,,3,,,,,,,,DRAFT,
CL_QUALIFIER,COICOP_CP04,COICOP,,4,,,,,,,,DRAFT,
CL_QUALIFIER,COICOP_CP05,COICOP,,5,,,,,,,,DRAFT,
CL_QUALIFIER,COICOP_CP06,COICOP,,6,,,,,,,,DRAFT,
CL_QUALIFIER,COICOP_CP07,COICOP,,7,,,,,,,,DRAFT,
CL_QUALIFIER,COICOP_CP08,COICOP,,8,,,,,,,,DRAFT,
CL_QUALIFIER,COICOP_CP09,COICOP,,9,,,,,,,,DRAFT,
CL_QUALIFIER,COICOP_CP10,COICOP,,10,,,,,,,,DRAFT,
CL_QUALIFIER,COICOP_CP11,COICOP,,11,,,,,,,,DRAFT,
CL_QUALIFIER,COICOP_CP12,COICOP,,12,,,,,,,,DRAFT,
CL_QUALIFIER,COICOP_CP13,COICOP,,13,,,,,,,,DRAFT,
CL_QUALIFIER,ACQ_PURCH,ACQ,,1,,,,,,,,DRAFT,
CL_QUALIFIER,ACQ_OWNPROD,ACQ,,2,,,,,,,,DRAFT,
CL_QUALIFIER,ACQ_GIFT,ACQ,,3,,,,,,,,DRAFT,"Registered, not populated by the legacy tables (H2)"
CL_QUALIFIER,ACQ_INKIND,ACQ,,4,,,,,,,,DRAFT,"Registered, not populated by the legacy tables (H2)"
CL_QUALIFIER,FI_DIR_TAX,FI,,1,,,,,,,,DRAFT,
CL_QUALIFIER,FI_DIR_TRANSF,FI,,2,,,,,,,,DRAFT,
CL_QUALIFIER,FI_INDIR_TAX,FI,,3,,,,,,,,DRAFT,
CL_QUALIFIER,FI_SUBSIDY,FI,,4,,,,,,,,DRAFT,
CL_QUALIFIER,FI_INKIND_EDU,FI,,5,,,,,,,,DRAFT,
CL_QUALIFIER,FI_INKIND_HEALTH,FI,,6,,,,,,,,DRAFT,
CL_QUALIFIER,FI_ALL,FI,,7,,,,,,,,DRAFT,
